time,(LX)
"25,100,000.00","49,506,360,000"
"25,150,000.00","49,497,660,000"
"25,200,000.00","49,496,670,000"
"25,250,000.00","49,500,330,000"
"25,300,000.00","49,501,910,000"
"25,350,000.00","49,498,950,000"
"25,400,000.00","49,496,670,000"
"25,450,000.00","49,495,880,000"
"25,500,000.00","49,498,160,000"
"25,550,000.00","49,484,920,000"
"25,600,000.00","49,493,220,000"
"25,650,000.00","49,494,110,000"
"25,700,000.00","49,494,700,000"
"25,750,000.00","49,488,970,000"
"25,800,000.00","49,499,440,000"
"25,850,000.00","49,498,450,000"
"25,900,000.00","49,495,690,000"
"25,950,000.00","49,494,900,000"
"26,000,000.00","49,493,420,000"
"26,050,000.00","49,492,030,000"
"26,100,000.00","49,496,580,000"
"26,150,000.00","49,489,660,000"
"26,200,000.00","49,496,970,000"
"26,250,000.00","49,484,720,000"
"26,300,000.00","49,489,560,000"
"26,350,000.00","49,489,370,000"
"26,400,000.00","49,488,970,000"
"26,450,000.00","49,479,980,000"
"26,500,000.00","49,493,710,000"
"26,550,000.00","49,494,010,000"
"26,600,000.00","49,494,010,000"
"26,650,000.00","49,501,020,000"
"26,700,000.00","49,506,850,000"
"26,750,000.00","49,501,810,000"
"26,800,000.00","49,507,840,000"
"26,850,000.00","49,507,150,000"
"26,900,000.00","49,498,060,000"
"26,950,000.00","49,493,810,000"
"27,000,000.00","49,498,750,000"
"27,050,000.00","49,493,420,000"
"27,100,000.00","49,491,240,000"
"27,150,000.00","49,493,420,000"
"27,200,000.00","49,495,000,000"
"27,250,000.00","49,485,910,000"
"27,300,000.00","49,488,670,000"
"27,350,000.00","49,490,160,000"
"27,400,000.00","49,490,550,000"
"27,450,000.00","49,494,600,000"
"27,500,000.00","49,488,870,000"
"27,550,000.00","49,496,080,000"
"27,600,000.00","49,497,470,000"
"27,650,000.00","49,493,510,000"
"27,700,000.00","49,489,170,000"
"27,750,000.00","49,484,820,000"
"27,800,000.00","49,489,960,000"
"27,850,000.00","49,491,740,000"
"27,900,000.00","49,490,950,000"
"27,950,000.00","49,491,540,000"
"28,000,000.00","49,496,180,000"
"28,050,000.00","49,495,880,000"
"28,100,000.00","49,496,770,000"
"28,150,000.00","49,496,180,000"
"28,200,000.00","49,492,720,000"
"28,250,000.00","49,497,560,000"
"28,300,000.00","49,492,620,000"
"28,350,000.00","49,500,430,000"
"28,400,000.00","49,494,700,000"
"28,450,000.00","49,504,280,000"
"28,500,000.00","49,501,320,000"
"28,550,000.00","49,505,470,000"
"28,600,000.00","49,499,640,000"
"28,650,000.00","49,490,250,000"
"28,700,000.00","49,494,110,000"
"28,750,000.00","49,491,740,000"
"28,800,000.00","49,497,960,000"
"28,850,000.00","49,490,950,000"
"28,900,000.00","49,486,600,000"
"28,950,000.00","49,492,720,000"
"29,000,000.00","49,496,770,000"
"29,050,000.00","49,494,900,000"
"29,100,000.00","49,501,810,000"
"29,150,000.00","49,496,180,000"
"29,200,000.00","49,494,300,000"
"29,250,000.00","49,495,980,000"
"29,300,000.00","49,494,110,000"
"29,350,000.00","49,495,790,000"
"29,400,000.00","49,497,660,000"
"29,450,000.00","49,496,770,000"
"29,500,000.00","49,493,320,000"
"29,550,000.00","49,488,770,000"
"29,600,000.00","49,490,550,000"
"29,650,000.00","49,491,040,000"
"29,700,000.00","49,496,080,000"
"29,750,000.00","49,489,860,000"
"29,800,000.00","49,490,160,000"
"29,850,000.00","49,491,040,000"
"29,900,000.00","49,484,230,000"
"29,950,000.00","49,486,200,000"
"30,000,000.00","49,481,860,000"
"30,050,000.00","49,481,560,000"
"30,100,000.00","49,489,560,000"
"30,150,000.00","49,478,890,000"
"30,200,000.00","49,480,080,000"
"30,250,000.00","49,486,700,000"
"30,300,000.00","49,484,230,000"
"30,350,000.00","49,489,270,000"
"30,400,000.00","49,496,580,000"
"30,450,000.00","49,490,750,000"
"30,500,000.00","49,488,570,000"
"30,550,000.00","49,481,660,000"
"30,600,000.00","49,491,540,000"
"30,650,000.00","49,491,930,000"
"30,700,000.00","49,487,880,000"
"30,750,000.00","49,490,160,000"
"30,800,000.00","49,488,080,000"
"30,850,000.00","49,490,350,000"
"30,900,000.00","49,485,410,000"
"30,950,000.00","49,482,750,000"
"31,000,000.00","49,483,240,000"
"31,050,000.00","49,481,070,000"
"31,100,000.00","49,492,620,000"
"31,150,000.00","49,486,700,000"
"31,200,000.00","49,483,140,000"
"31,250,000.00","49,483,440,000"
"31,300,000.00","49,480,870,000"
"31,350,000.00","49,490,060,000"
"31,400,000.00","49,488,770,000"
"31,450,000.00","49,496,480,000"
"31,500,000.00","49,487,980,000"
"31,550,000.00","49,481,070,000"
"31,600,000.00","49,487,490,000"
"31,650,000.00","49,487,390,000"
"31,700,000.00","49,479,780,000"
"31,750,000.00","49,477,710,000"
"31,800,000.00","49,480,080,000"
"31,850,000.00","49,484,920,000"
"31,900,000.00","49,480,770,000"
"31,950,000.00","49,483,930,000"
"32,000,000.00","49,485,610,000"
"32,050,000.00","49,493,320,000"
"32,100,000.00","49,490,950,000"
"32,150,000.00","49,482,850,000"
"32,200,000.00","49,472,280,000"
"32,250,000.00","49,482,060,000"
"32,300,000.00","49,481,460,000"
"32,350,000.00","49,479,290,000"
"32,400,000.00","49,486,200,000"
"32,450,000.00","49,479,880,000"
"32,500,000.00","49,480,280,000"
"32,550,000.00","49,479,490,000"
"32,600,000.00","49,483,140,000"
"32,650,000.00","49,482,150,000"
"32,700,000.00","49,480,670,000"
"32,750,000.00","49,483,730,000"
"32,800,000.00","49,486,010,000"
"32,850,000.00","49,478,400,000"
"32,900,000.00","49,482,650,000"
"32,950,000.00","49,481,960,000"
"33,000,000.00","49,479,490,000"
"33,050,000.00","49,479,490,000"
"33,100,000.00","49,481,170,000"
"33,150,000.00","49,481,360,000"
"33,200,000.00","49,480,180,000"
"33,250,000.00","49,482,550,000"
"33,300,000.00","49,478,200,000"
"33,350,000.00","49,483,340,000"
"33,400,000.00","49,479,590,000"
"33,450,000.00","49,486,110,000"
"33,500,000.00","49,487,090,000"
"33,550,000.00","49,483,340,000"
"33,600,001.00","49,483,240,000"
"33,650,001.00","49,486,700,000"
"33,700,001.00","49,491,240,000"
"33,750,001.00","49,480,080,000"
"33,800,001.00","49,481,070,000"
"33,850,001.00","49,488,770,000"
"33,900,001.00","49,479,780,000"
"33,950,001.00","49,486,800,000"
"34,000,001.00","49,483,040,000"
"34,050,001.00","49,484,030,000"
"34,100,001.00","49,487,490,000"
"34,150,001.00","49,483,540,000"
"34,200,001.00","49,498,550,000"
"34,250,001.00","49,478,010,000"
"34,300,001.00","49,485,810,000"
"34,350,001.00","49,485,510,000"
"34,400,001.00","49,479,590,000"
"34,450,001.00","49,480,870,000"
"34,500,001.00","49,480,080,000"
"34,550,001.00","49,482,150,000"
"34,600,001.00","49,476,230,000"
"34,650,001.00","49,485,610,000"
"34,700,001.00","49,481,460,000"
"34,750,001.00","49,480,970,000"
"34,800,001.00","49,482,650,000"
"34,850,001.00","49,483,340,000"
"34,900,001.00","49,482,750,000"
"34,950,001.00","49,478,890,000"
"35,000,001.00","49,488,570,000"
"35,050,001.00","49,491,740,000"
"35,100,001.00","49,498,750,000"
"35,150,001.00","49,482,450,000"
"35,200,001.00","49,488,770,000"
"35,250,001.00","49,490,650,000"
"35,300,001.00","49,483,440,000"
"35,350,001.00","49,489,070,000"
"35,400,001.00","49,502,310,000"
"35,450,001.00","49,495,690,000"
"35,500,001.00","49,484,720,000"
"35,550,001.00","49,486,110,000"
"35,600,001.00","49,483,830,000"
"35,650,001.00","49,486,700,000"
"35,700,001.00","49,488,770,000"
"35,750,001.00","49,487,880,000"
"35,800,001.00","49,481,660,000"
"35,850,001.00","49,486,110,000"
"35,900,001.00","49,479,590,000"
"35,950,001.00","49,483,440,000"
"36,000,001.00","49,489,460,000"
"36,050,001.00","49,489,270,000"
"36,100,001.00","49,487,090,000"
"36,150,001.00","49,479,090,000"
"36,200,001.00","49,491,740,000"
"36,250,001.00","49,491,040,000"
"36,300,001.00","49,498,550,000"
"36,350,001.00","49,501,710,000"
"36,400,001.00","49,503,100,000"
"36,450,001.00","49,500,630,000"
"36,500,001.00","49,497,370,000"
"36,550,001.00","49,491,340,000"
"36,600,001.00","49,502,110,000"
"36,650,001.00","49,504,180,000"
"36,700,001.00","49,496,870,000"
"36,750,001.00","49,491,140,000"
"36,800,001.00","49,495,880,000"
"36,850,001.00","49,493,120,000"
"36,900,001.00","49,502,700,000"
"36,950,001.00","49,500,720,000"
"37,000,001.00","49,500,130,000"
"37,050,001.00","49,502,900,000"
"37,100,001.00","49,495,690,000"
"37,150,001.00","49,490,250,000"
"37,200,001.00","49,492,530,000"
"37,250,001.00","49,496,580,000"
"37,300,001.00","49,505,270,000"
"37,350,001.00","49,492,430,000"
"37,400,001.00","49,500,030,000"
"37,450,001.00","49,493,420,000"
"37,500,001.00","49,493,910,000"
"37,550,001.00","49,499,240,000"
"37,600,001.00","49,497,370,000"
